JRV,ORIGEN,CANDIDATO_RUBRO,VOTOS
3914,ESCRUTINIO,P. LIBERAL,113
3914,ESCRUTINIO,LIBRE,26
3914,ESCRUTINIO,P. NACIONAL,45
3914,ESCRUTINIO,VOTOS BLANCOS,0
3914,ESCRUTINIO,VOTOS NULOS,1
3914,ESCRUTINIO,GRAN TOTAL,193
3914,TREP,DC,2
3914,TREP,PINU,6
3914,TREP,P. LIBERAL,113
3914,TREP,LIBRE,26
3914,TREP,P. NACIONAL,45
3914,TREP,VOTOS BLANCOS,0
3914,TREP,VOTOS NULOS,1
3914,TREP,GRAN TOTAL,193
3917,ESCRUTINIO,DC,0
3917,ESCRUTINIO,PINU,3
3917,ESCRUTINIO,P. LIBERAL,153
3917,ESCRUTINIO,LIBRE,38
3917,ESCRUTINIO,P. NACIONAL,37
3917,ESCRUTINIO,VOTOS BLANCOS,0
3917,ESCRUTINIO,VOTOS NULOS,2
3917,ESCRUTINIO,GRAN TOTAL,233
3917,TREP,DC,0
3917,TREP,PINU,3
3917,TREP,P. LIBERAL,153
3917,TREP,LIBRE,37
3917,TREP,P. NACIONAL,38
3917,TREP,VOTOS BLANCOS,0
3917,TREP,VOTOS NULOS,2
3917,TREP,GRAN TOTAL,233
3919,ESCRUTINIO,DC,0
3919,ESCRUTINIO,PINU,5
3919,ESCRUTINIO,P. LIBERAL,155
3919,ESCRUTINIO,LIBRE,38
3919,ESCRUTINIO,P. NACIONAL,45
3919,ESCRUTINIO,VOTOS BLANCOS,2
3919,ESCRUTINIO,VOTOS NULOS,1
3919,ESCRUTINIO,GRAN TOTAL,246
3919,TREP,DC,0
3919,TREP,PINU,5
3919,TREP,P. LIBERAL,155
3919,TREP,LIBRE,38
3919,TREP,P. NACIONAL,45
3919,TREP,VOTOS BLANCOS,1
3919,TREP,VOTOS NULOS,1
3919,TREP,GRAN TOTAL,245
3978,ESCRUTINIO,DC,1
3978,ESCRUTINIO,PINU,2
3978,ESCRUTINIO,P. LIBERAL,158
3978,ESCRUTINIO,LIBRE,32
3978,ESCRUTINIO,P. NACIONAL,52
3978,ESCRUTINIO,VOTOS BLANCOS,1
3978,ESCRUTINIO,VOTOS NULOS,1
3978,ESCRUTINIO,GRAN TOTAL,247
3978,TREP,DC,1
3978,TREP,PINU,2
3978,TREP,P. LIBERAL,158
3978,TREP,LIBRE,32
3978,TREP,P. NACIONAL,52
3978,TREP,VOTOS BLANCOS,1
3978,TREP,VOTOS NULOS,1
3978,TREP,GRAN TOTAL,247
3980,ESCRUTINIO,DC,0
3980,ESCRUTINIO,PINU,13
3980,ESCRUTINIO,P. LIBERAL,121
3980,ESCRUTINIO,LIBRE,33
3980,ESCRUTINIO,P. NACIONAL,35
3980,ESCRUTINIO,VOTOS BLANCOS,1
3980,ESCRUTINIO,VOTOS NULOS,1
3980,ESCRUTINIO,GRAN TOTAL,204
3980,TREP,DC,0
3980,TREP,PINU,13
3980,TREP,P. LIBERAL,121
3980,TREP,LIBRE,33
3980,TREP,P. NACIONAL,35
3980,TREP,VOTOS BLANCOS,1
3980,TREP,VOTOS NULOS,1
3980,TREP,GRAN TOTAL,204
4828,ESCRUTINIO,DC,0
4828,ESCRUTINIO,PINU,2
4828,ESCRUTINIO,P. LIBERAL,122
4828,ESCRUTINIO,LIBRE,19
4828,ESCRUTINIO,P. NACIONAL,56
4828,ESCRUTINIO,VOTOS BLANCOS,0
4828,ESCRUTINIO,VOTOS NULOS,1
4828,ESCRUTINIO,GRAN TOTAL,200
4828,TREP,DC,0
4828,TREP,PINU,2
4828,TREP,P. LIBERAL,122
4828,TREP,LIBRE,19
4828,TREP,P. NACIONAL,56
