Fecha_Hora,Departamento,JRV,Nivel,Estado,Detalle
2026-02-07 09:01:18,CHOLUTECA,7041,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:01:25,CHOLUTECA,7041,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:01:29,CHOLUTECA,7041,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:01:33,CHOLUTECA,7042,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:01:40,CHOLUTECA,7042,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:01:44,CHOLUTECA,7042,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:01:48,CHOLUTECA,7047,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:01:55,CHOLUTECA,7047,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:01:59,CHOLUTECA,7047,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:02:03,CHOLUTECA,7061,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:02:10,CHOLUTECA,7061,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:02:14,CHOLUTECA,7061,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:02:18,CHOLUTECA,7107,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:02:24,CHOLUTECA,7107,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:02:28,CHOLUTECA,7107,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:02:32,CHOLUTECA,7217,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:02:39,CHOLUTECA,7217,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:02:43,CHOLUTECA,7217,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:02:47,CHOLUTECA,7657,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:02:54,CHOLUTECA,7657,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:02:58,CHOLUTECA,7657,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:03:02,CHOLUTECA,7966,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:03:09,CHOLUTECA,7966,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:03:13,CHOLUTECA,7966,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:03:17,EL PARAISO,8716,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:03:23,EL PARAISO,8716,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:03:27,EL PARAISO,8716,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:03:31,FRANCISCO MORAZAN,9356,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:03:41,FRANCISCO MORAZAN,9356,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:03:45,FRANCISCO MORAZAN,9356,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:03:49,FRANCISCO MORAZAN,9357,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:03:59,FRANCISCO MORAZAN,9357,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:04:03,FRANCISCO MORAZAN,9357,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:04:08,FRANCISCO MORAZAN,9551,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:04:18,FRANCISCO MORAZAN,9551,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:04:22,FRANCISCO MORAZAN,9551,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:04:27,FRANCISCO MORAZAN,9700,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:04:37,FRANCISCO MORAZAN,9700,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:04:41,FRANCISCO MORAZAN,9700,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:04:45,FRANCISCO MORAZAN,9890,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:04:55,FRANCISCO MORAZAN,9890,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:04:59,FRANCISCO MORAZAN,9890,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:05:04,FRANCISCO MORAZAN,9930,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:05:14,FRANCISCO MORAZAN,9930,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:05:18,FRANCISCO MORAZAN,9930,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:05:23,FRANCISCO MORAZAN,9947,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:05:33,FRANCISCO MORAZAN,9947,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:05:37,FRANCISCO MORAZAN,9947,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:05:41,FRANCISCO MORAZAN,9966,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:05:52,FRANCISCO MORAZAN,9966,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:05:56,FRANCISCO MORAZAN,9966,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:06:00,FRANCISCO MORAZAN,9984,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:06:11,FRANCISCO MORAZAN,9984,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:06:15,FRANCISCO MORAZAN,9984,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 09:06:19,FRANCISCO MORAZAN,10013,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:06:24,FRANCISCO MORAZAN,10013,DIPUTADOS,EXITO,Guardado en no_computadas
2026-02-07 09:06:29,FRANCISCO MORAZAN,10013,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:06:33,FRANCISCO MORAZAN,10067,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:06:44,FRANCISCO MORAZAN,10067,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:06:48,FRANCISCO MORAZAN,10067,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:06:52,FRANCISCO MORAZAN,10103,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:07:04,FRANCISCO MORAZAN,10103,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:07:08,FRANCISCO MORAZAN,10103,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:07:12,FRANCISCO MORAZAN,10151,PRESIDENTE,EXITO,Guardado en no_computadas
